name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
Chennai Tax Consultants,"H B Estate,3rd floor Old no.125,New, no.259, Linghi Chetty Street, Chennai, Tamil Nadu 600001",,097907 87552,98,4.6,Tax consultant, Closes 7pm
Chennai Corporation Property Tax Office,"26PJ+538, S Usman Road, Postal Colony, T. Nagar, Chennai, Tamil Nadu 600017",chennaicorporation.gov.in,098404 44148,36,3.2,State government office,
Smart Tax Consultants,"Old No 249, New No 166, 2nd Floor, Thambu Chetty St, Chennai, Tamil Nadu 600001",smarttaxconsultants.com,097102 13141,180,4.9,Tax consultant, Closes 10pm
Moshi Tax Services,"78, Sandhiyappan, Egankipuram 2nd St, Otteri, Purasaiwakkam, Chennai, Tamil Nadu 600012",sites.google.com,081487 99843,68,5.0,Tax preparation service, Closes 10pm
"Fortune Filings LLP | GST & Company Registration, IT Return filing","No.1, Woods Road, Anna Salai, near LIC Building, next to Benz Showroom, Chennai, Tamil Nadu 600002",fortunefilings.in,063795 75568,105,5.0,Tax preparation service, Closes 11pm
"Aayakar Bhawan (Income Tax office), Chennai","121, Nungambakkam High Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600034",tnincometax.gov.in,28338484,37,4.5,Central Government Office, Closes 5:45pm
Commercial Tax Office Annex,"CT - ANNEX BUILDING, 1, Greams Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006",ctd.tn.gov.in,,42,4.0,Government office, Closes 6pm
"Integrated for Commercial Taxes, State Tax, (GST), Chennai (North) Division","32, Elephant Gate St, Periamet, Railway Colony, Chennai, Tamil Nadu 600003",ctd.tn.gov.in,,3,3.7,Government office, Closes 5pm
Commerical Taxes Department,"COMMERCIAL TAXES, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006",,,1,5.0,Tax department, Closes 6pm
SEG Tax Solution,"126, Govindan St, Shanthi Nagar, Arundati Nagar, Perambur, Chennai, Tamil Nadu 600012",,081245 75572,19,5.0,Tax preparation service, Closes 6pm
"OFFICE OF THE JOINT COMMISSIONER,STATE TAX (GST), CHENNAI NORTH DIVISION.","32, Elephant Gate St, Periamet, Vepery, George Town, Chennai, Tamil Nadu 600003",,,10,4.6,Government office, Closes 5:45pm
Director general of Income Tax,"No 108, Uthamar Gandhi Rd, Subba Road Avenue, Nungambakkam, Chennai, Tamil Nadu 600034",,1800 180 1961,15,4.2,Tax department, Closes 5:45pm
Tax India Firm,"10/32, 3rd Floor, Balaji Towers, Thiruvika Rd, opp. Sathyam Theatre, Peters Colony, Royapettah, Chennai, Tamil Nadu 600014",taxindiafirm.com,099625 74040,195,5.0,Tax preparation service, Closes 9pm
VM TAX CONSULTANCY,"No:20, 10, Ambedkar Nagar 5th St, Ambedkar Nagar, Korukkupet, Old Washermanpet, Chennai, Tamil Nadu 600021",,095518 68434,13,5.0,Accounting firm,
Income Tax Office (BSNL Building),"Income Tax Office Bsnl, 62, Greams Rd, Thousand Lights East, Thousand Lights, Chennai, Tamil Nadu 600006",,044 2833 8309,51,4.1,Government office, Closes 5:30pm
6 to 60 Tax Consultancy,"13, 39, Thandavarayan St, Kanniyappan Colony, Sanjeevarayanpet, Old Washermanpet, Chennai, Tamil Nadu 600021",6to60taxconsultancy.wixsite.com,090252 33303,18,4.6,Tax preparation service, Closes 8pm
SEG Tax Solution,"126, Govindan St, Shanthi Nagar, Arundati Nagar, Perambur, Chennai, Tamil Nadu 600012",,081245 75572,19.0,5.0,Tax preparation service, Closes 6pm
NVJ AND ASSOCIATES,"756, 15th Central Cross St, MKB Nagar, Mahakavi Bharathiyar Nagar East, Mahakavi Bharathi Nagar, Vyasarpadi, Chennai, Tamil Nadu 600039",,,39.0,4.9,Certified public accountant, Closes 6pm
GD Accounting and Taxation,"29, 1st floor, Venkatesapuram Colony 3rd Cross St, opp. to Kidzee school, MKB Nagar, Mahakavi Bharathi Nagar, Vyasarpadi, Chennai, Tamil Nadu 600039",,,1.0,5.0,Accounting firm, Closes 9pm
One Point Tax,"18-21, Raghavan St, Bunder Garden, Perambur, Chennai, Tamil Nadu 600011",onepointtax.in,,14.0,5.0,Tax consultant, Closes 8pm
SKV ACCOUNTING & TAX CONSULTANCY SERVICES,"OLD NO 85 NEW, 116A, Patel Rd, Perambur, Chennai, Tamil Nadu 600011",,093846 62036,7.0,5.0,Tax preparation service, Closes 8:30pm
SriVari Accounts,"NEW NO 12 OLD, 22/2, Nattal Garden 2nd St, Perambur, Chennai, Tamil Nadu 600011",,098403 18404,108.0,4.9,Tax preparation service,
"Prakash Dugar & Co., CAs","Vasanth Apts., D Block, First Floor, Flat F1, Kennedy Nagar Main Street, Vyasarpadi, Chennai, Tamil Nadu 600039",,086956 80959,2.0,4.5,Chartered accountant, Closes 8pm
BS Tax Firm,"No.36, 3rd Block, Kaviarasu Kannadhasan Nagar, Kodungaiyur, Chennai, Tamil Nadu 600118",bstaxfirm.com,097109 06052,13.0,4.9,Financial audit, Closes 6:30pm
JAFFY ASSOCIATES,"4762+5MH, Kumaraswamy St, Chinnaiyan Colony, Vyasarpadi, Chennai, Tamil Nadu 600011",,089393 41235,1.0,5.0,Tax consultant, Closes 6:30am Fri
GRTS | Pan Card Service,"No:10A/2 1st Cross, Main Rd, MKB Nagar, Vyasarpadi, Chennai, Tamil Nadu 600039",grtsinfoconnects.com,087545 10731,41.0,4.3,Consultant, Closes 6pm
Audit Pulse,"05, 13, Thanikachalam St, Subramania Garden, Siruvallur, Perambur, Chennai, Tamil Nadu 600011",,090259 73127,23.0,5.0,Tax preparation service, Closes 6pm
Ecfile Solutions Pvt. ltd.,"1st floor, 13/1, Madhavaram High Rd, Huzur Garden, Sembiyan, Perambur, Chennai, Tamil Nadu 600011",ecfile.in,084700 74700,145.0,4.9,Tax preparation service, Closes 6:30pm
E.Z.TAX CONSULTANCY (GST & Tax Consultant),"South Ave, Muthamizh Nagar, Kodungaiyur, Chennai, Tamil Nadu 600118",,096000 14322,14.0,4.9,Accounting firm, Closes 10pm
"R Mahaveer and Co.,","2A/23A, Venkatesapuram Colony 3rd Cross St, opposite Corporation ground, MKB Nagar, Mahakavi Bharathi Nagar, Vyasarpadi, Chennai, Tamil Nadu 600039",,098844 43929,,,Certified public accountant, Closes 7pm
UCORE TAX AND ACCOUNTING SOLUTIONS,"No. 8, 3(28/3, Thanthondri Amman Koil St, opposite Medplus Medicals, Agaram, Perambur, Chennai, Tamil Nadu 600082",,063803 76457,29.0,5.0,Tax preparation service, Closes 7pm
Insta Serve Solutions,"No 365 Anna Salai Sastri nagar, Sharma nagar MArket, Chennai, Tamil Nadu 600039",,099404 04585,2.0,3.0,Tax consultant, Closes 9:30pm
